dataset,model,mae,rmse,train_time,n_params,n_epochs,final_loss,val_final_loss
ETTm1,MLP,0.04071147711395799,0.05435191928587939,14.292141199111938,15431,18,0.0026651383377611637,0.0022468981333076954
ETTm1,RNN_LSTM,0.021755595203321095,0.03559720407242818,342.3189914226532,51911,42,0.0011983899166807532,0.0008709757821634412
ETTm1,CNN,0.03539899688776414,0.048084018265650605,46.297937631607056,38855,24,0.001825860352255404,0.002075196709483862
Exchange-Rate,MLP,0.13624138035231856,0.18204240910047512,2.734971284866333,17032,14,0.006634981837123632,0.04740416631102562
Exchange-Rate,RNN_LSTM,0.0618380110332797,0.07702067705140352,26.078710794448853,52232,27,0.002193183172494173,0.00823393277823925
Exchange-Rate,CNN,0.14788561050624835,0.18348034930818366,7.539594650268555,39112,24,0.0033676268067210913,0.05284491553902626
Weather,MLP,0.030413488596012225,0.05590955774113854,17.09822654724121,37845,24,0.005076752044260502,0.005229017231613398
Weather,RNN_LSTM,0.011439845944770757,0.0354268805739455,323.3053493499756,56405,52,0.002827828750014305,0.002145906211808324
Weather,CNN,0.02276963498300486,0.04371124142986555,42.208654165267944,42453,30,0.0035317479632794857,0.0036074058152735233
Electricity,MLP,0.09235952367517246,0.12475806658299207,10.875651121139526,518145,14,0.0180719755589962,0.016148459166288376
Electricity,RNN_LSTM,0.05375425805454726,0.0809959761800721,215.04937744140625,152705,59,0.003856638679280877,0.005821955855935812
Electricity,CNN,0.06289924810077904,0.09300140797557856,37.025941610336304,119553,31,0.005522686056792736,0.007720073685050011
